id	name	thumb	thumbWide
3932	Henkyou Gurashi no Maou, Tensei shite Saikyou no Majutsushi ni naru 〜Aisarenagara Nariagaru Moto Maō wa, Ningen o Shiritai〜 	https://cdn.gudangkomik.com/henkyou-gurashi-no-maou-tensei-shite-saikyou-no-majutsushi-ni-naru-aisarenagara-nariagaru-moto-mao-wa-ningen-o-shiritai/thumb.jpg	
2778	Souzou Renkinjutsushi Wa Jiyuu wo Ouka Suru Kokyou wo Tsuihou Saretara, Maou No Ohizamoto De Chouzetsu Kouka No Magic Item Zukuri Houdai Ni Narimashita	https://cdn.gudangkomik.com/souzou-renkinjutsushi-wa-jiyuu-wo-ouka-suru-kokyou-wo-tsuihou-saretara-maou-no-ohizamoto-de-chouzetsu-kouka-no-magic-item-zukuri-houdai-ni-narimashita/thumb.jpg	
3314	Deceptions	https://cdn.gudangkomik.com/deceptions/thumb.jpg	
6275	Shitsugyou Kenja no Nariagari 	https://cdn.gudangkomik.com/shitsugyou-kenja-no-nariagari/thumb.jpg	
1741	I’m the Villainess, but I’m Being Captured by the Heroine?! 	https://cdn.gudangkomik.com/im-the-villainess-but-im-being-captured-by-the-heroine/thumb.jpg	
3553	Maou Toubatsu Shita Ato, Medachitakunai node Guild Master ni Natta 	https://cdn.gudangkomik.com/maou-toubatsu-shita-ato-medachitakunai-node-guild-master-ni-natta/thumb.jpg	
1987	The Strongest Daily Immortal Cultivation Repair System in The City 	https://cdn.gudangkomik.com/the-strongest-daily-immortal-cultivation-repair-system-in-the-city/thumb.jpg	
1325	Heaven (Onion)	https://cdn.gudangkomik.com/heaven-onion/thumb.jpg	
1049	Lasboss x Hero 	https://cdn.gudangkomik.com/lasboss-x-hero/thumb.jpg	
1535	Isekai Kangoshi wa Shugyo Chuu!!	https://cdn.gudangkomik.com/isekai-kangoshi-wa-shugyo-chuu/thumb.jpg	
2386	Tiger Dragon Brothers 	https://cdn.gudangkomik.com/tiger-dragon-brothers/thumb.jpg	
439	Kiben Gakuha, Yotsuya Senpai no Kaidan	https://cdn.gudangkomik.com/kiben-gakuha-yotsuya-senpai-no-kaidan/thumb.jpg	
5936	I Woke Up as the Ugly Duckling	https://cdn.gudangkomik.com/i-woke-up-as-the-ugly-duckling/thumb.jpg	
1308	Chaos Jinwu 	https://cdn.gudangkomik.com/chaos-jinwu/thumb.jpg	
3852	Mousou Telepathy 	https://cdn.gudangkomik.com/mousou-telepathy/thumb.png	
3389	The Many Weaknesses of Ayaka the Yankee JK 	https://cdn.gudangkomik.com/the-many-weaknesses-of-ayaka-the-yankee-jk/thumb.jpg	
3182	The Former Structural Researcher’s Story of Otherworldly Adventure 	https://cdn.gudangkomik.com/the-former-structural-researchers-story-of-otherworldly-adventure/thumb.jpg	
1957	Omae, Tanuki ni Naranee ka? 	https://cdn.gudangkomik.com/omae-tanuki-ni-naranee-ka/thumb.jpg	
5153	Mannen D-rank No Chuunen Boukensha Yotta Ikioi De Densetsu No Ken Wo Hikkonuku 	https://cdn.gudangkomik.com/mannen-d-rank-no-chuunen-boukensha-yotta-ikioi-de-densetsu-no-ken-wo-hikkonuku/thumb.jpg	
3330	Hibi Chouchou 	https://cdn.gudangkomik.com/hibi-chouchou/thumb.jpg	
1985	The Live 	https://cdn.gudangkomik.com/the-live/thumb.png	
3719	Chronicles of Heavenly Demon 	https://cdn.gudangkomik.com/chronicles-of-heavenly-demon/thumb.png	
1630	Genjitsu Shugi Yuusha no Oukoku Saikenki 	https://cdn.gudangkomik.com/genjitsu-shugi-yuusha-no-oukoku-saikenki/thumb.jpg	
3460	My Gift LVL 9999 Unlimited Gacha	https://cdn.gudangkomik.com/my-gift-lvl-9999-unlimited-gacha/thumb.	
3206	Battle Through The Heavens: Return Of The Beasts 	https://cdn.gudangkomik.com/battle-through-the-heavens-return-of-the-beasts/thumb.jpg	
3021	Demon Conqueror 	https://cdn.gudangkomik.com/demon-conqueror/thumb.jpg	
610	Bug Zapper	https://cdn.gudangkomik.com/fallback.jpg	
3381	Tang Yin 	https://cdn.gudangkomik.com/tang-yin/thumb.jpg	
5830	Hetare Ane (Webcomic) 	https://cdn.gudangkomik.com/hetare-ane-webcomic/thumb.jpg	
1747	Journey to Heavens 	https://cdn.gudangkomik.com/journey-to-heavens/thumb.jpg	
3833	I Got My Hands on a Hypnosis App	https://cdn.gudangkomik.com/i-got-my-hands-on-a-hypnosis-app/thumb.jpg	
854	Monster ga Afureru Sekai ni Natta Node, Suki ni Ikitai to Omoimasu (The World Is Full of Monsters Now, Therefore I Want to Live as I Wish) 	https://cdn.gudangkomik.com/monster-ga-afureru-sekai-ni-natta-node-suki-ni-ikitai-to-omoimasu-the-world-is-full-of-monsters-now-therefore-i-want-to-live-as-i-wish/thumb.jpg	
2642	Joou Heika no Isekai Senryaku 	https://cdn.gudangkomik.com/joou-heika-no-isekai-senryaku/thumb.jpg	
5265	Rain 	https://cdn.gudangkomik.com/rain/thumb.jpg	
1243	Imouto ga Ichi Nichi Ikka Shika Me wo Awasete Kurenai 	https://cdn.gudangkomik.com/imouto-ga-ichi-nichi-ikka-shika-me-wo-awasete-kurenai/thumb.jpg	
1033	Hiota no Kanojo ga Ore no Motteru Eroge ni Kyoumi Shinshin Nanda ga…… 	https://cdn.gudangkomik.com/hiota-no-kanojo-ga-ore-no-motteru-eroge-ni-kyoumi-shinshin-nanda-ga/thumb.jpg	
1279	Soul Land IV – The Ultimate Combat 	https://cdn.gudangkomik.com/soul-land-iv-the-ultimate-combat/thumb.jpg	
2774	Shouwa Otome Otogibanashi 	https://cdn.gudangkomik.com/shouwa-otome-otogibanashi/thumb.jpg	
2370	Sono Ossan. Isekai de Nishuume Play wo Mankitsuchuu 	https://cdn.gudangkomik.com/sono-ossan-isekai-de-nishuume-play-wo-mankitsuchuu/thumb.jpg	
1644	Inaka no Home Center Otoko no Jiyuu na Isekai Seikatsu 	https://cdn.gudangkomik.com/inaka-no-home-center-otoko-no-jiyuu-na-isekai-seikatsu/thumb.jpg	
4325	Full Drum 	https://cdn.gudangkomik.com/full-drum/thumb.jpg	
1090	The Strongest Haunted House and the Guy With No Spiritual Sense 	https://cdn.gudangkomik.com/the-strongest-haunted-house-and-the-guy-with-no-spiritual-sense/thumb.jpg	
1293	Tomodachi no Imouto ga Ore ni Dake Uzai 	https://cdn.gudangkomik.com/tomodachi-no-imouto-ga-ore-ni-dake-uzai/thumb.jpg	
1679	Sweat and Soap (Ase to Sekken) 	https://cdn.gudangkomik.com/sweat-and-soap-ase-to-sekken/thumb.jpg	
6530	Ichioku-nen Button O Renda Shita Ore Wa, Kizuitara Saikyou Ni Natteita 	https://cdn.gudangkomik.com/ichioku-nen-button-o-renda-shita-ore-wa-kizuitara-saikyou-ni-natteita/thumb.png	
6796	Hazure Skill “Kage ga Usui” o Motsu Guild Shokuin ga Jitsuha Densetsu no Ansatsusha 	https://cdn.gudangkomik.com/hazure-skill-kage-ga-usui-o-motsu-guild-shokuin-ga-jitsuha-densetsu-no-ansatsusha/thumb.jpg	
2773	Shokubutsu Monster Musume Nikki 	https://cdn.gudangkomik.com/fallback.jpg	
1643	I’m Not The Overlord 	https://cdn.gudangkomik.com/im-not-the-overlord/thumb.jpg	
463	Seirei Gensouki – Konna Sekai de Deaeta Kimi ni (MINAZUKI Futago)	https://cdn.gudangkomik.com/fallback.jpg	
159	Nina Wa Papa o Koroshitai 	https://cdn.gudangkomik.com/nina-wa-papa-o-koroshitai/thumb.jpg	
1004	Bai Ze’s Bizarre Collection 	https://cdn.gudangkomik.com/bai-zes-bizarre-collection/thumb.jpg	
1244	Iryuu: Team Medical Dragon 	https://cdn.gudangkomik.com/iryuu-team-medical-dragon/thumb.jpg	
2311	Chaotic Sword God (Remake) 	https://cdn.gudangkomik.com/chaotic-sword-god-remake/thumb.jpg	
3827	Futaribocchi Sensou 	https://cdn.gudangkomik.com/futaribocchi-sensou/thumb.jpg	
3079	The Black Land God 	https://cdn.gudangkomik.com/the-black-land-god/thumb.jpg	
1242	I, the Strongest Demon, Have Regained My Youth?! 	https://cdn.gudangkomik.com/i-the-strongest-demon-have-regained-my-youth/thumb.jpg	
5236	Invincible at the Start 	https://cdn.gudangkomik.com/invincible-at-the-start/thumb.jpg	
843	Kabe ni Mary.com 	https://cdn.gudangkomik.com/kabe-ni-marycom/thumb.jpg	
1580	The Frontier Alchemist ~ I Can’t Go Back to That Job After You Made My Budget Zero	https://cdn.gudangkomik.com/the-frontier-alchemist-i-cant-go-back-to-that-job-after-you-made-my-budget-zero/thumb.jpg	
1220	Cherry Teacher Sakura Naoki 	https://cdn.gudangkomik.com/cherry-teacher-sakura-naoki/thumb.jpg	
1549	My First Time is with My Little Sister !	https://cdn.gudangkomik.com/my-first-time-is-with-my-little-sister/thumb.	
1333	I was Told to Relinquish My Fiancé to My Little Sister, and the Greatest Dragon Took a Liking to Me and Unbelievably Took Over the Kingdom 	https://cdn.gudangkomik.com/i-was-told-to-relinquish-my-fiance-to-my-little-sister-and-the-greatest-dragon-took-a-liking-to-me-and-unbelievably-took-over-the-kingdom/thumb.jpg	
4238	Kimi wa Midara na Boku no Joou 	https://cdn.gudangkomik.com/kimi-wa-midara-na-boku-no-joou/thumb.jpg	
2798	Yondome wa Iya na Shizokusei Majutsushi 	https://cdn.gudangkomik.com/yondome-wa-iya-na-shizokusei-majutsushi/thumb.jpg	
1780	Taberare Usa	https://cdn.gudangkomik.com/taberare-usa/thumb.jpg	
2454	Mutou and Satou 	https://cdn.gudangkomik.com/mutou-and-satou/thumb.jpg	
1834	Isekai Shoukan Sareta ga Kyousei Soukan Sareta Ore wa Shikata Naku Yaseru Koto ni Shita 	https://cdn.gudangkomik.com/isekai-shoukan-sareta-ga-kyousei-soukan-sareta-ore-wa-shikata-naku-yaseru-koto-ni-shita/thumb.jpg	
1490	Ultra Battle Satellite 	https://cdn.gudangkomik.com/ultra-battle-satellite/thumb.png	
4095	Yaoguai Mingdan 	https://cdn.gudangkomik.com/yaoguai-mingdan/thumb.jpg	
1682	The Great Prophet Is Running From Her Previous Life 	https://cdn.gudangkomik.com/the-great-prophet-is-running-from-her-previous-life/thumb.jpeg	
3087	The Terminal Illness (Disease)	https://cdn.gudangkomik.com/the-terminal-illness-disease/thumb.	
20	Flower Wizard 	https://cdn.gudangkomik.com/flower-wizard/thumb.jpg	
1364	Ore no Imouto ga Konna ni Kawaii wake ga nai Kuroneko IF 	https://cdn.gudangkomik.com/ore-no-imouto-ga-konna-ni-kawaii-wake-ga-nai-kuroneko-if/thumb.jpg	
1511	Coffee wo Shidzuka ni	https://cdn.gudangkomik.com/coffee-wo-shidzuka-ni/thumb.jpg	
1336	Isekai Shoukan wa Nidome Desu 	https://cdn.gudangkomik.com/isekai-shoukan-wa-nidome-desu/thumb.jpg	
5270	Seiken Gakuin no Maken Tsukai	https://cdn.gudangkomik.com/seiken-gakuin-no-maken-tsukai/thumb.jpg	
269	My Disciple Has Become the Strongest Human Before I Knew It, and I, A Master With No Talent, Was Mistakenly Recognized as the Strongest in the Universe Beyond That	https://cdn.gudangkomik.com/my-disciple-has-become-the-strongest-human-before-i-knew-it-and-i-a-master-with-no-talent-was-mistakenly-recognized-as-the-strongest-in-the-universe-beyond-that/thumb.png	
1389	The Personal Doctor Of The Female President 	https://cdn.gudangkomik.com/the-personal-doctor-of-the-female-president/thumb.jpg	
2172	Shall We Have Dinner Tonight?	https://cdn.gudangkomik.com/shall-we-have-dinner-tonight/thumb._SX318_	
145	Kunoichi Tsubaki no Mune no Uchi 	https://cdn.gudangkomik.com/kunoichi-tsubaki-no-mune-no-uchi/thumb.jpg	
1851	Legacy 	https://cdn.gudangkomik.com/legacy/thumb.jpg	
2718	Fureru to Kikoeru 	https://cdn.gudangkomik.com/fureru-to-kikoeru/thumb.jpg	
2189	The Smiling Proud Wanderer 	https://cdn.gudangkomik.com/the-smiling-proud-wanderer/thumb.jpg	
127	Even While Drunk	https://cdn.gudangkomik.com/even-while-drunk/thumb.	
2672	Sekimen Shinaide Sekime-san 	https://cdn.gudangkomik.com/sekimen-shinaide-sekime-san/thumb.jpg	
530	Genkai Koe No Tenpu wa, Tensei-sha ni Shika Atsukaenai – Overlimit Skill Holders – 	https://cdn.gudangkomik.com/genkai-koe-no-tenpu-wa-tensei-sha-ni-shika-atsukaenai-overlimit-skill-holders/thumb.jpg	
3077	Supreme Spirit Master 	https://cdn.gudangkomik.com/supreme-spirit-master/thumb.jpg	
1824	How to Live as a Villain 	https://cdn.gudangkomik.com/how-to-live-as-a-villain/thumb.png	
966	Monster no Goshujin-sama 	https://cdn.gudangkomik.com/monster-no-goshujin-sama/thumb.jpg	
3297	Will sama wa kyou mo mahou de asondeimasu 	https://cdn.gudangkomik.com/will-sama-wa-kyou-mo-mahou-de-asondeimasu/thumb.jpg	
1456	Oumagadoki Doubutsuen 	https://cdn.gudangkomik.com/oumagadoki-doubutsuen/thumb.jpg	
2161	Outcast 	https://cdn.gudangkomik.com/outcast/thumb.jpg	
4800	Zennin Ossan, Umarekawattara SSS Rank Jinsei ga Kakutei shita 	https://cdn.gudangkomik.com/zennin-ossan-umarekawattara-sss-rank-jinsei-ga-kakutei-shita/thumb.jpg	
2076	Tensei Kizoku no Isekai Boukenroku ~Jichou wo Shiranai Kamigami no Shit 	https://cdn.gudangkomik.com/tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shit/thumb.jpg	
3212	Deserve It 	https://cdn.gudangkomik.com/deserve-it/thumb.jpg	
3209	Damage Danshi 	https://cdn.gudangkomik.com/damage-danshi/thumb.jpg	
5151	Mahouka Koukou no Rettousei – Kyuukousenhen 	https://cdn.gudangkomik.com/mahouka-koukou-no-rettousei-kyuukousenhen/thumb.jpg	
2319	Dogeza de Tanondemita 	https://cdn.gudangkomik.com/dogeza-de-tanondemita/thumb.png	
1550	My Recently Hired Maid Is Suspicious (Webcomic) 	https://cdn.gudangkomik.com/my-recently-hired-maid-is-suspicious-webcomic/thumb.jpg	
200	XE Organization 	https://cdn.gudangkomik.com/xe-organization/thumb.jpg	
88	Time Paradox Ghostwriter 	https://cdn.gudangkomik.com/time-paradox-ghostwriter/thumb.jpg	
3866	Reversing the Immortal Path 	https://cdn.gudangkomik.com/reversing-the-immortal-path/thumb.jpg	
6792	Genius Doctor: Black Belly Miss 	https://cdn.gudangkomik.com/genius-doctor-black-belly-miss/thumb.jpg	
6449	Life In The End Times From Scratch 	https://cdn.gudangkomik.com/life-in-the-end-times-from-scratch/thumb.jpg	
7099	I Am the Invincible God of War (I Am The Warriors God Of War)	https://cdn.gudangkomik.com/i-am-the-invincible-god-of-war-i-am-the-warriors-god-of-war/thumb.jpg	https://cdn.gudangkomik.com/i-am-the-invincible-god-of-war-i-am-the-warriors-god-of-war/thumbWide.jpg
6100	Yuki to Sumi 	https://cdn.gudangkomik.com/yuki-to-sumi/thumb.png	
2259	Otogi Matsuri 	https://cdn.gudangkomik.com/otogi-matsuri/thumb.jpg	
5763	School Martial Art (Valkyrie) 	https://cdn.gudangkomik.com/school-martial-art-valkyrie/thumb.jpg	
945	I Really Don’t Want to Be the First	https://cdn.gudangkomik.com/i-really-dont-want-to-be-the-first/thumb.jpg	
965	Mom, Please Don’t Come Adventuring With Me! ~The Boy Who Was Raised by the Ultimate Overprotective Dragon, Becomes an Adventurer With His Mother~ 	https://cdn.gudangkomik.com/mom-please-dont-come-adventuring-with-me-the-boy-who-was-raised-by-the-ultimate-overprotective-dragon-becomes-an-adventurer-with-his-mother/thumb.jpeg	
3423	Eisen Flugel 	https://cdn.gudangkomik.com/eisen-flugel/thumb.jpg	
4528	Hachinan tte Sore wa Nai Deshou 	https://cdn.gudangkomik.com/hachinan-tte-sore-wa-nai-deshou/thumb.jpg	
1083	The Gateway of Revolution 	https://cdn.gudangkomik.com/the-gateway-of-revolution/thumb.jpg	
132	H-Campus	https://cdn.gudangkomik.com/h-campus/thumb.jpg	
4003	86 — Eighty Six — 	https://cdn.gudangkomik.com/86-eighty-six/thumb.jpg	
5343	Kimi ga Shinda Ato no Watashi no Monogatari 	https://cdn.gudangkomik.com/kimi-ga-shinda-ato-no-watashi-no-monogatari/thumb.jpg	
1538	Kyougaku Koukou no Genjitsu 	https://cdn.gudangkomik.com/kyougaku-koukou-no-genjitsu/thumb.jpg	
